,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Real Cleo,https://www.pornhub.com/pornstar/real-cleo,4176,57,7100000,https://ei.phncdn.com/pics/users/u/001/068/292/012/avatar1575924009/(m=eQJ6GCjadOf)(mh=8duFiQvICsqlDunr)200x200.jpg,True,False,"About Real Cleo

                                    Webcam star and fetish babe","['Its Cleo Live', 'Carmen Valentina', 'Sunny Lane']","{'Official Site': 'https://www.itscleolive.com', 'Twitter': 'https://www.twitter.com/itscleolive'}","{'Relationship status': 'Single', 'City and Country': 'Tampa, US', 'Pornstar Profile Views': '1,039,556', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Profile Views': '1,062,741', 'Videos Watched': '62'}",4276.0,4176.0,[4205],5414.0,17700.0
1,Shawn Alff,https://www.pornhub.com/pornstar/shawn-alff,4177,115,16100000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=Q8kC_7WjJ3UB45Kc)4e2c0bf1-e146-41b7-a66d-8d98d4dd7ad9.jpg,True,False,"About Shawn Alff

                                    Regular guy Shawn Alff makes his way from production assistant to pornstar in this original docuseries, exclusively on Bellesa Plus. Shawn’s been rubbing shoulders with the biggest names in the biz for years as a PA, running around fetching water bottles, grabbing snacks and pushing paperwork. Now, Shawn gets to live out his fantasy and we’re all along for the ride.","['Bellesa Plus', 'Zero To Hero', 'Producers Fun']","{'Official Site': 'https://twitter.com/shawnalff', 'Twitter': 'https://www.twitter.com/shawnalff', 'Amazon Wishlist': 'https://www.amazon.com/hz/wishlist/ls/CL2Q9OSH90LE?ref_=wl_share', 'Instagram': 'https://www.instagram.com/shawnalff'}","{'Relationship status': 'Single', 'Interested in': 'Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '537,115', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Male', 'Measurements': '--', 'Endowment': '5-7""', 'Height': '5 ft 10 in (178 cm)', 'Weight': '165 lbs (75 kg)', 'Ethnicity': 'White', 'Eye Color': 'Blue', 'Foreskin': 'Cut', 'Facial Hair': 'No', 'Tattoos': 'No', 'Piercings': 'No', 'Profile Views': '537,066', 'Videos Watched': '335'}",4414.0,4177.0,[4180],4921.0,4200.0
2,Rilee Marks,https://www.pornhub.com/pornstar/rilee-marks,4187,33,4200000,https://ei.phncdn.com/pics/users/651/982/201/avatar1541648255/(m=eQJ6GCjadOf)(mh=_65nmZ4n6AhFAz-7)200x200.jpg,True,False,"Nubile yum-yum Rilee Marks looks even younger than she is, thanks to her tiny willowy body and soft brunette features, but you can tell shes all woman by her natural 32C gazongas. Also, Rilees depraved woman-fucking skills are a big tip-off. She knows how to work a pussy and loves to prove herself as an experienced miss. So far in her porn career, shes only worked with chicks or gone solo for dirty masturbation scenes, but her lady-loving prowess is magical. She was born in 1991 in San Francisco, California, and began performing in explicit hardcore movies when she was 20. A bisexual who wont date a dude unless hes fine with her having a number of lesbian side-pieces to fuck at her convenience, eating pussy for a living is her wet dream come true. In her lusty teenage years, Rilee looked forward to every all-girl sleepover party, where she could convince her girlfriends to experiment with a  on girl action. Rilees range can be witnessed in soft women-friendly dyke-out scenes or harder lesbian bondage. Due to her wholesome air, Rilee is frequently cast as the curious newbie seduced by an older MILF, and we are all too happy to watch.","['Sexy Momma', 'Smut Puppet', 'ATK Petites']",NA,"{'Relationship status': 'Taken', 'Interested in': 'Guys and Girls', 'City and Country': 'Phoenix, US', 'Pornstar Profile Views': '1,923,793', 'Career Status': 'Active', 'Career Start and End': '2011                        to                        Present', 'Gender': 'Female', 'Birth Place': 'San Francisco, California, United States of America', 'Star Sign': 'Sagittarius', 'Measurements': '34C-24-32', 'Height': '5 ft 4 in (163 cm)', 'Weight': '104 lbs (47 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Profile Views': '936,447', 'Videos Watched': '25'}",4258.0,4187.0,[4242],4070.0,28100.0
3,Princess Bambie,https://www.pornhub.com/pornstar/princess-bambie,4190,14,9000000,https://ei.phncdn.com/pics/users/403/305/962/avatar1524466888/(m=eQJ6GCjadOf)(mh=AUULD5b3urtVoCas)200x200.jpg,True,False,"About Princess Bambie

                                    Content creator on ManyVids. Princess, dork, extraordinarily naughty. I really like cute stuff and role playing. Follow me on Twitter @PrincessBambie3",NA,NA,"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Avalon, US', 'Pornstar Profile Views': '1,093,102', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Interests and hobbies': 'Hiking, nature photography, reading', 'Profile Views': '1,507,221', 'Videos Watched': '15'}",4061.0,4190.0,[4228],4032.0,46200.0
4,Briar Rose,https://www.pornhub.com/pornstar/briar-rose,4198,10,11300000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=bLGfsDqVA5U7hKTa)88d71664-138b-4243-a09d-3f14d0d7d628.jpg,True,False,,"['Team Skeet', 'POV Pornstars', 'First Time Auditions']","{'Official Site': 'https://onlyfans.com/briarrose', 'Twitter': 'https://www.twitter.com/briarrose1369'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'Pornstar Profile Views': '895,901', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Height': '4 ft 9 in (145 cm)', 'Weight': '95 lbs (43 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde', 'Profile Views': '32,265', 'Videos Watched': '5'}",4125.0,4198.0,[4267],4024.0,18700.0
5,Erika Xstacy,https://www.pornhub.com/pornstar/erika-xstacy,4200,118,6300000,https://ei.phncdn.com/pics/users/492/189/132/avatar1573597854/(m=eQJ6GCjadOf)(mh=gZqCpdqxB41lSmPU)200x200.jpg,True,False,,['Plumper Pass'],"{'Official Site': 'https://erikaxstacy.xxx', 'Twitter': 'https://twitter.com/ErikaXstacy', 'Amazon Wishlist': 'https://a.co/e7oaNbV', 'Snapchat': 'https://www.snapchat.com/add/erikaxstacy', 'Instagram': 'https://www.instagram.com/erika.xstacy'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'Pornstar Profile Views': '506,656', 'Career Status': 'Active', 'Career Start and End': '2010                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Virginia Beach, Virginia, United States of America', 'Star Sign': 'Aquarius', 'Measurements': '38DDD-38-44', 'Height': '5 ft 2 in (157 cm)', 'Weight': '180 lbs (82 kg)', 'Ethnicity': 'White', 'Background': 'American', 'Hair Color': 'Brunette', 'Eye Color': 'Blue', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Profile Views': '614,605', 'Videos Watched': '254'}",3998.0,4200.0,[4204],4207.0,14400.0
6,Alissa Avni,https://www.pornhub.com/pornstar/alissa-avni,4209,30,23300000,https://ei.phncdn.com/pics/users/626/970/191/avatar1556790848/(m=eQJ6GCjadOf)(mh=tB4LZbD-gb9o0_0L)200x200.jpg,True,False,NA,NA,NA,NA,4187.0,4210.0,[],3568.0,40300.0
7,Leah Obscure,https://www.pornhub.com/pornstar/leah-obscure,4210,25,9700000,https://ei.phncdn.com/pics/users/239/170/632/avatar1577138063/(m=eQJ6GCjadOf)(mh=jk-E_pn5-y7YQiQA)200x200.jpg,True,False,,"['Bums Buero', 'DOEGIRLS', 'Bums Bus']","{'Official Site': 'https://onlyfans.com/leahobscurefree', 'Twitter': 'https://www.twitter.com/leah_obscure', 'Instagram': 'https://www.instagram.com/leahobscureofficial'}","{'Relationship status': 'Taken', 'Interested in': 'Guys and Girls', 'City and Country': 'NERDHEAVEN, CH', 'Pornstar Profile Views': '1,243,052', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Germany', 'Star Sign': 'Aquarius', 'Measurements': '--', 'Height': '5 ft 5 in (165 cm)', 'Weight': '123 lbs (56 kg)', 'Ethnicity': 'White', 'Hair Color': 'Red|Black', 'Tattoos': 'Yes', 'Profile Views': '1,301,443', 'Videos Watched': '149'}",4892.0,4215.0,[4102],5141.0,4000.0
8,Lucy Hart,https://www.pornhub.com/pornstar/lucy-hart,4215,37,3100000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=25LVNDIYANC6NuS_)d8e57b1b-bcbb-459a-afa9-81d5e4b87d23.jpg,True,False,"About Lucy Hart

                                    Hi I'm Lucy Hart :)

I started working in porn in 2007.  I've won over a dozen awards as a performer and a few as a director.  I've worked for Evil Angel, Kink, TransSensual, GenderX, Trans Angels, Transfixed... and a ton more studios.  I currently live in NY and shoot for my own studio called Nice Feelings.  

I'm putting a lot of my work here.  Check it out and please subscribe if you like it!","['Nice Feelings', 'Transfixed', 'BZR Entertainment']","{'Official Site': 'https://onlyfans.com/mamahartx', 'Twitter': 'https://www.twitter.com/mamahartx', 'Instagram': 'https://www.instagram.com/mamahartx'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'City and Country': 'New York, US', 'Pornstar Profile Views': '447,746', 'Career Status': 'Active', 'Career Start and End': '2007                        to                        Present', 'Gender': 'Trans Woman', 'Star Sign': 'Taurus', 'Measurements': '36DD-30-36', 'Height': '5 ft 8 in (173 cm)', 'Ethnicity': 'White', 'Hair Color': 'Blonde', 'Eye Color': 'Brown', 'Fake Boobs': 'Yes', 'Tattoos': 'No', 'Piercings': 'No', 'Interests and hobbies': ""I want to fuck your brains out, cook you something nice and snuggle.  I'm into BDSM stuff so if you want me to hurt you a little, I'm happy to <3\r\n\r\nI'm frequently at queer play spaces messing around with my friends and making new ones.  Occasionally I take bookings to see clients when it seems like fun."", 'Turn Ons': 'Honesty.  Pantyhose.  Butts.', 'Profile Views': '447,966', 'Videos Watched': '53'}",4316.0,4223.0,[4244],3731.0,105000.0
9,Your Asian Minx,https://www.pornhub.com/pornstar/your-asian-minx,4223,6,10200000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=QldPI1peyKdljeBM)084fb7f9-7e37-4e30-b9b3-97b2794d33c7.jpg,True,False,"About Your Asian Minx

                                    Hi, just a girl making records of her sexcapades for you to enjoy. Hit me up @ onlyfans.com/yourasianminx",NA,"{'Twitter': 'https://www.twitter.com/yourasianminx', 'Snapchat': 'https://www.snapchat.com/add/yagurlalice', 'Instagram': 'https://www.instagram.com/eurasianminx'}","{'Relationship status': 'Single', 'Interested in': 'Guys', 'City and Country': 'NotyourBiz, DE', 'Pornstar Profile Views': '3,832,739', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Germany', 'Star Sign': 'Gemini', 'Measurements': '--', 'Ethnicity': 'Asian', 'Hair Color': 'Black', 'Interests and hobbies': 'Foooood, mostly cake.', 'Profile Views': '4,968,217', 'Videos Watched': '18'}",3584.0,4226.0,[4135],4313.0,5100.0
